Date,Open,High,Low,Close,Volume,Market Cap
27-Dec-13,763.28,777.51,713.60,735.07,46862700.00,8955394564.00
28-Dec-13,737.98,747.06,705.35,727.83,32505800.00,8869918644.00
29-Dec-13,728.05,748.61,714.44,745.05,19011300.00,9082103621.00
30-Dec-13,741.35,766.60,740.24,756.13,20707700.00,9217167990.00
31-Dec-13,760.32,760.58,738.17,754.01,20897300.00,9191325349.00
1-Jan-14,754.97,775.35,754.97,771.40,22489400.00,9403308145.00
2-Jan-14,773.44,820.31,767.21,802.39,38489500.00,9781073921.00
3-Jan-14,802.85,834.15,789.12,818.72,37810100.00,9980135396.00
4-Jan-14,823.27,859.51,801.67,859.51,38005000.00,10477362437.00
5-Jan-14,858.55,952.40,854.52,933.53,72898496.00,11379660685.00
6-Jan-14,936.05,1017.12,905.71,953.29,85565696.00,11620533603.00
7-Jan-14,946.49,965.74,802.00,802.00,81311696.00,9808299600.00
8-Jan-14,795.99,870.68,776.18,842.72,74175600.00,10310363180.00
9-Jan-14,841.47,864.36,804.14,846.86,59998600.00,10365397028.00
10-Jan-14,846.69,871.19,822.60,868.48,31876800.00,10634081648.00
11-Jan-14,867.32,921.48,861.72,913.95,44754200.00,11195636164.00
12-Jan-14,919.60,928.52,851.17,863.22,39623500.00,10578653198.00
13-Jan-14,860.19,861.29,806.05,841.20,45580900.00,10312375950.00
14-Jan-14,843.17,855.69,825.66,833.27,20829800.00,10218535832.00
15-Jan-14,833.12,872.81,830.86,860.90,28107200.00,10561305975.00
16-Jan-14,860.29,866.16,835.63,835.63,19149300.00,10255185612.00
17-Jan-14,834.49,842.91,797.63,814.64,39031700.00,10000663202.00
18-Jan-14,816.07,841.49,816.07,840.00,18052700.00,10315662000.00
19-Jan-14,839.66,870.96,825.53,870.96,24365700.00,10699504086.00
20-Jan-14,871.39,886.39,853.87,870.20,27652700.00,10694453430.00
21-Jan-14,869.65,881.20,855.93,863.91,18997300.00,10620283205.00
22-Jan-14,867.21,870.15,837.36,845.59,18453700.00,10399573174.00
23-Jan-14,845.46,851.57,819.32,822.04,15607100.00,10113558120.00
24-Jan-14,822.43,822.43,783.58,797.07,34912000.00,9810138293.00
25-Jan-14,796.24,861.45,792.96,853.61,24303900.00,10509539619.00
26-Jan-14,853.68,897.02,844.86,885.28,32224300.00,10902798632.00
27-Jan-14,884.60,893.00,757.11,771.39,49233600.00,9503544085.00
