Date,Symbol,Open,High,Low,Volume From,Volume To,Close
10/8/2015,BTCUSD,242.5,245,242.5,18.8,4595.84,243.95
10/9/2015,BTCUSD,243.95,249.97,243.6,30.99,7651.63,245.39
10/10/2015,BTCUSD,245.39,246.3,244.6,12.17,2984.44,246.3
10/11/2015,BTCUSD,246.3,249.5,246.3,12.22,3021.12,249.5
10/12/2015,BTCUSD,249.5,249.5,247.6,38.28,9493.89,247.6
10/13/2015,BTCUSD,247.6,252.87,245.75,51.71,12875.4,250
10/14/2015,BTCUSD,250,254.75,250,119.54,30115.77,253
10/15/2015,BTCUSD,253,258.98,253,197.11,50535.45,255.26
10/16/2015,BTCUSD,255.9,269.98,255.9,101.13,26743.35,263.75
10/17/2015,BTCUSD,263.75,285,263.14,664.66,180981.35,272.47
10/18/2015,BTCUSD,272.47,274.89,264.01,53.56,14484,268.46
10/19/2015,BTCUSD,268.46,274.77,265,132.93,35836.54,272.49
10/20/2015,BTCUSD,272.49,275.99,266.02,202.09,54949.01,272.1
10/21/2015,BTCUSD,272.1,272.75,269.5,364.6,99066.75,271.64
10/22/2015,BTCUSD,271.64,279.98,271.23,588.5,162664.5,276.89
10/23/2015,BTCUSD,276.89,283.95,276.89,590.31,164962.53,280.2
10/24/2015,BTCUSD,280.2,285,280.19,438.03,123247.67,285
10/25/2015,BTCUSD,285,297,285,46.26,13502.41,289.38
10/26/2015,BTCUSD,289.38,296.99,283.99,339.76,97784.33,288.54
10/27/2015,BTCUSD,288.54,299,288.53,691.25,202956.9,298.2
10/28/2015,BTCUSD,298.2,309,298.2,1219.05,369278.2,307.05
10/29/2015,BTCUSD,307.05,320.01,261.51,1675.85,522681.16,314.89
10/30/2015,BTCUSD,314.89,374,314.89,2078.47,681306.37,330.36
10/31/2015,BTCUSD,330.36,336.69,309.15,193.96,62936.19,315
11/1/2015,BTCUSD,315,330,299.76,377.15,120386.11,330
11/2/2015,BTCUSD,330,370,326.1,3028.56,1062068.18,367.85
11/3/2015,BTCUSD,367.85,424.62,362.25,3009.34,1182587.15,400
11/4/2015,BTCUSD,400,500,365,2104.01,957774.87,410
11/5/2015,BTCUSD,410,450,369.73,1655.25,671522.45,379.42
11/6/2015,BTCUSD,379.42,399.7,354.01,1183.23,443559.45,376
11/7/2015,BTCUSD,376,391.92,374.97,824.89,316125.45,388.13
11/8/2015,BTCUSD,388.13,389.61,363.47,152.4,58646.32,377
11/9/2015,BTCUSD,377,386.79,361.43,1134.47,426641.07,381.46
11/10/2015,BTCUSD,381.46,383,236,728.85,255925.57,336.18
11/11/2015,BTCUSD,336.18,343.75,300,1225.57,385120.65,306
11/12/2015,BTCUSD,306,344.8,300.51,1215.85,397146.18,335.5
11/13/2015,BTCUSD,335.5,348.58,326.6,478.64,160014.56,338.45
11/14/2015,BTCUSD,338.45,2200,332.92,616.59,254383.14,349.99
11/15/2015,BTCUSD,349.99,354.99,317.76,396.53,132609.66,318.66
11/16/2015,BTCUSD,318.66,338.99,315,475.92,155088.38,336.99
11/17/2015,BTCUSD,336.99,340.24,328.33,892.06,299171.45,334.51
11/18/2015,BTCUSD,334.51,337.9,330.01,1545.01,517355.7,335.99
11/19/2015,BTCUSD,335.99,335.99,322.34,908.48,302039.17,325.01
11/20/2015,BTCUSD,325.01,328.3,310,371.67,119626.03,320.51
11/21/2015,BTCUSD,320.51,328.97,318.28,324.76,105230.72,325.22
11/22/2015,BTCUSD,325.22,328.75,320.99,301.36,97804.72,324.37
11/23/2015,BTCUSD,324.37,326.32,320.01,1010.84,326786.37,322.75
11/24/2015,BTCUSD,322.75,324.53,305,884.39,283519.45,317.52
11/25/2015,BTCUSD,317.52,332,315.21,546.09,178654.88,327.5
11/26/2015,BTCUSD,327.5,365.37,327.5,510.4,175433.89,360
11/27/2015,BTCUSD,360,369.04,347.76,1023.14,370511.16,360.4
11/28/2015,BTCUSD,360.4,360.41,352,161.21,57658.18,357
11/29/2015,BTCUSD,357,380,354.01,462.71,168299.4,368.11
11/30/2015,BTCUSD,368.11,380.99,367.5,1510.3,565830.65,377.29
12/1/2015,BTCUSD,377.29,379.99,355.01,511.06,186714.7,363.01
12/2/2015,BTCUSD,363.01,364.03,349,422.45,151625.88,361.18
12/3/2015,BTCUSD,361.18,369.99,358,965.2,350211.87,361.5
12/4/2015,BTCUSD,361.5,364.48,356,912.81,329262.86,362.03
12/5/2015,BTCUSD,362.03,389.9,361.53,746.45,278215.04,385.82
12/6/2015,BTCUSD,385.82,403.33,385.82,220.74,86851.71,395.5
12/7/2015,BTCUSD,395.5,400,385.01,779.95,307497.84,398.62
12/8/2015,BTCUSD,398.62,412.13,390.84,501.04,200415.53,412.13
12/9/2015,BTCUSD,412.13,424.48,347.5,695.45,285473.2,418.98
