Symbol,Date,Open,High,Low,Close,Volume
ENGRO,01-Sep-2003,96.25,96.95,94.90,96.80,4098600
ENGRO,02-Sep-2003,97.00,97.75,96.80,97.15,775400
ENGRO,03-Sep-2003,97.50,97.50,96.00,96.25,669800
ENGRO,04-Sep-2003,95.85,96.00,95.05,95.10,437700
ENGRO,05-Sep-2003,95.50,95.50,94.05,94.95,302400
ENGRO,08-Sep-2003,95.90,96.90,95.40,96.25,524500
ENGRO,09-Sep-2003,94.75,94.85,93.40,94.45,1599700
ENGRO,10-Sep-2003,94.75,95.70,94.30,94.50,1771200
ENGRO,11-Sep-2003,94.90,95.00,93.80,93.85,1380300
ENGRO,12-Sep-2003,94.20,96.70,93.95,96.55,10299800
ENGRO,15-Sep-2003,97.05,97.40,94.75,95.20,4044500
ENGRO,16-Sep-2003,95.00,95.40,90.45,90.45,3630300
ENGRO,17-Sep-2003,87.05,91.35,85.95,86.95,3554500
ENGRO,18-Sep-2003,88.55,93.45,88.50,91.50,2840100
ENGRO,19-Sep-2003,91.20,91.50,88.00,89.20,1875500
ENGRO,22-Sep-2003,89.45,89.50,84.75,84.75,1250000
ENGRO,23-Sep-2003,82.40,84.10,80.55,81.75,2545800
ENGRO,24-Sep-2003,82.90,83.65,78.50,82.00,2748900
ENGRO,25-Sep-2003,82.45,85.50,82.00,85.25,3838600
ENGRO,26-Sep-2003,85.50,88.00,82.45,83.10,8241000
ENGRO,29-Sep-2003,82.60,82.70,78.95,79.00,2470700
ENGRO,30-Sep-2003,78.50,82.90,78.25,81.00,4013900
ENGRO,01-Oct-2003,81.25,83.50,81.10,83.25,3138000
ENGRO,02-Oct-2003,83.50,85.00,83.35,84.40,3369600
ENGRO,03-Oct-2003,84.00,84.85,82.55,83.75,1696000
ENGRO,06-Oct-2003,83.80,84.85,83.80,84.25,2060700
ENGRO,07-Oct-2003,83.25,84.45,82.20,82.95,1246900
ENGRO,08-Oct-2003,82.95,83.90,81.60,81.75,1978600
ENGRO,09-Oct-2003,82.00,82.50,79.30,80.65,1086500
ENGRO,10-Oct-2003,80.90,81.20,78.85,81.00,1470500
ENGRO,13-Oct-2003,81.50,81.75,80.00,80.00,827300
ENGRO,14-Oct-2003,79.10,79.50,77.25,78.10,1982300
ENGRO,15-Oct-2003,78.00,80.80,77.75,80.70,1863300
ENGRO,16-Oct-2003,81.30,82.75,80.40,81.80,2999900
ENGRO,17-Oct-2003,82.00,83.85,81.50,82.50,2161100
ENGRO,20-Oct-2003,82.50,83.75,82.30,83.00,1636500
ENGRO,21-Oct-2003,83.25,83.50,81.70,81.75,1329900
